,winsize,threshold,k,RMSE,r2_score
81,40,1.02,0.7999999999999999,19.359345218241547,-9.435796749927192
79,40,1.01,1.0999999999999999,19.423918479179815,-9.505530232573504
144,60,1.0,1.0999999999999999,19.43322995172144,-9.51560496630267
108,50,1.0,0.9999999999999999,19.629407163447016,-9.728985305041352
66,30,1.1,0.7999999999999999,19.82886869357752,-9.94813533507904
78,40,1.01,0.9999999999999999,19.845359820399104,-9.96635343608069
73,40,1.0,0.9999999999999999,20.269856637164548,-10.440516653736875
90,40,1.04,0.7,20.338587626702726,-10.518233153398883
85,40,1.03,0.7,20.46756164266102,-10.664778529686155
77,40,1.01,0.8999999999999999,20.47558410285091,-10.67392456895083
87,40,1.03,0.8999999999999999,20.73190980656439,-10.968036501601652
109,50,1.0,1.0999999999999999,21.18322694542821,-11.494777347916719
82,40,1.02,0.8999999999999999,21.30439297023112,-11.638123997494892
86,40,1.03,0.7999999999999999,21.396539987038057,-11.747686748197099
83,40,1.02,0.9999999999999999,21.613287004877268,-12.007263091382862
65,30,1.1,0.7,22.244881974140423,-12.778581048174422
115,50,1.02,0.7,24.20784211035567,-15.317605893073399
84,40,1.02,1.0999999999999999,24.239177143892537,-15.359876794496074
88,40,1.03,0.9999999999999999,24.408095591517906,-15.58868935598689
91,40,1.04,0.7999999999999999,24.739718057088627,-16.042518550517087
95,40,1.05,0.7,24.989134279729292,-16.38788283043461
146,60,1.01,0.7999999999999999,25.237711243829803,-16.73553189605346
110,50,1.01,0.7,25.590024766869185,-17.234157255494104
111,50,1.01,0.7999999999999999,25.84113671812992,-17.593772421155066
92,40,1.04,0.8999999999999999,26.74040322110688,-18.91040925637785
141,60,1.0,0.7999999999999999,27.506472719048027,-20.067552666894372
69,30,1.1,1.0999999999999999,28.279918176235608,-21.268993096006525
96,40,1.05,0.7999999999999999,28.3133593346745,-21.321690648256904
89,40,1.03,1.0999999999999999,28.551058623902065,-21.698058712051953
112,50,1.01,0.8999999999999999,29.029626259312767,-22.465357362782107
93,40,1.04,0.9999999999999999,29.307776650692865,-22.917183187494835
67,30,1.1,0.8999999999999999,29.711853393593824,-23.581239059283817
68,30,1.1,0.9999999999999999,30.071802135990286,-24.18043299720113
116,50,1.02,0.7999999999999999,30.10884438915021,-24.242505395862132
113,50,1.01,0.9999999999999999,30.22794516936788,-24.44260263121341
148,60,1.01,0.9999999999999999,30.515290506099834,-24.92861392254501
143,60,1.0,0.9999999999999999,30.88215501435119,-25.555805596725904
101,40,1.1,0.7999999999999999,31.080577198916128,-25.898151448425423
114,50,1.01,1.0999999999999999,32.59254132648276,-28.578812422085207
120,50,1.03,0.7,32.85808530871917,-29.062755805320204
94,40,1.04,1.0999999999999999,32.94012242285969,-29.213059176711994
97,40,1.05,0.8999999999999999,33.08745733032679,-29.483938163714384
98,40,1.05,0.9999999999999999,33.686902085648455,-30.598497460406527
149,60,1.01,1.0999999999999999,34.33553368369543,-31.827052348547895
145,60,1.01,0.7,34.55130096608785,-32.240924404562364
118,50,1.02,0.9999999999999999,34.90275186996727,-32.92060761360229
126,50,1.04,0.7999999999999999,35.300862893110036,-33.69883759972581
103,40,1.1,0.9999999999999999,36.357761182828675,-35.80768883128653
122,50,1.03,0.8999999999999999,36.5411692054492,-36.1799808864285
117,50,1.02,0.8999999999999999,36.569742777516026,-36.23814980918003
104,40,1.1,1.0999999999999999,37.12536851460342,-37.37830853940339
147,60,1.01,0.8999999999999999,38.11582995760269,-39.45340152283877
99,40,1.05,1.0999999999999999,38.72573541615019,-40.75837897312981
100,40,1.1,0.7,39.190279582006376,-41.76623390706773
121,50,1.03,0.7999999999999999,41.10954564405465,-46.05758519752958
125,50,1.04,0.7,43.09629498748448,-50.71590797238573
119,50,1.02,1.0999999999999999,43.42479547411219,-51.50731934198461
123,50,1.03,0.9999999999999999,43.92051667326938,-52.71296969130129
102,40,1.1,0.8999999999999999,44.55340426516777,-54.2721133733656
124,50,1.03,1.0999999999999999,50.55358751358275,-70.16201625654732
150,60,1.02,0.7,52.45834274975799,-75.62551672687266
130,50,1.05,0.7,52.92704120130175,-77.00088241110896
133,50,1.05,0.9999999999999999,53.78130384241004,-79.53913058259594
127,50,1.04,0.8999999999999999,54.29678628438266,-81.09043068902704
